1, 1, 5, 1, 1, 1, 1, 1
5, 0, 5, 1, 1, 1, 1, 1
6, 0, 5, 1, 1, 1, 1, 1
7, 1, 5, 1, 1, 1, 1, 1
8, 1, 5, 1, 1, 1, 1, 1
9, 1, 5, 1, 1, 1, 1, 1
0, 1, 5, 1, 1, 1, 1, 1
12, 0, 5, 1, 1, 1, 1, 1
24, 0, 5, 1, 1, 1, 1, 1
17, 1, 5, 1, 1, 1, 1, 1
9, 1, 5, 1, 1, 1, 1, 1
34, 1, 5, 1, 1, 1, 1, 1
10, 0, 5, 1, 1, 1, 1, 1
99, 0, 5, 1, 1, 1, 1, 1
1, 1, 5, 1, 1, 1, 1, 1
5, 0, 5, 1, 1, 1, 1, 1
6, 0, 5, 1, 1, 1, 1, 1
7, 1, 5, 1, 1, 1, 1, 1
8, 1, 5, 1, 1, 1, 1, 1
9, 1, 5, 1, 1, 1, 1, 1
0, 1, 5, 1, 1, 1, 1, 1
12, 0, 5, 1, 1, 1, 1, 1
24, 0, 5, 1, 1, 1, 1, 1
17, 1, 5, 1, 1, 1, 1, 1
9, 1, 5, 1, 1, 1, 1, 1
34, 1, 5, 1, 1, 1, 1, 1
10, 0, 5, 1, 1, 1, 1, 1
99, 0, 5, 1, 1, 1, 1, 1
1, 1, 5, 1, 1, 1, 1, 1
5, 0, 5, 1, 1, 1, 1, 1
6, 0, 5, 1, 1, 1, 1, 1
7, 1, 5, 1, 1, 1, 1, 1
8, 1, 5, 1, 1, 1, 1, 1
9, 1, 5, 1, 1, 1, 1, 1
0, 1, 5, 1, 1, 1, 1, 1
12, 0, 5, 1, 1, 1, 1, 1
24, 0, 5, 1, 1, 1, 1, 1
17, 1, 5, 1, 1, 1, 1, 1
9, 1, 5, 1, 1, 1, 1, 1
34, 1, 5, 1, 1, 1, 1, 1
10, 0, 5, 1, 1, 1, 1, 1
99, 0, 5, 1, 1, 1, 1, 1
1, 1, 5, 1, 1, 1, 1, 1
5, 0, 5, 1, 1, 1, 1, 1
6, 0, 5, 1, 1, 1, 1, 1
7, 1, 5, 1, 1, 1, 1, 1
8, 1, 5, 1, 1, 1, 1, 1
9, 1, 5, 1, 1, 1, 1, 1
0, 1, 5, 1, 1, 1, 1, 1
12, 0, 5, 1, 1, 1, 1, 1
24, 0, 5, 1, 1, 1, 1, 1
17, 1, 5, 1, 1, 1, 1, 1
9, 1, 5, 1, 1, 1, 1, 1
34, 1, 5, 1, 1, 1, 1, 1
10, 0, 5, 1, 1, 1, 1, 1
99, 0, 5, 1, 1, 1, 1, 1
