0, 1, 5, 1, 1, 1, 1, 1, 7
0, 1, 5, 1, 1, 1, 1, 1, 21
0, 1, 5, 1, 1, 1, 1, 1, 35
0, 1, 5, 1, 1, 1, 1, 1, 49
1, 1, 5, 1, 1, 1, 1, 1, 1
1, 1, 5, 1, 1, 1, 1, 1, 15
1, 1, 5, 1, 1, 1, 1, 1, 29
1, 1, 5, 1, 1, 1, 1, 1, 43
5, 0, 5, 1, 1, 1, 1, 1, 2
5, 0, 5, 1, 1, 1, 1, 1, 16
5, 0, 5, 1, 1, 1, 1, 1, 30
5, 0, 5, 1, 1, 1, 1, 1, 44
6, 0, 5, 1, 1, 1, 1, 1, 3
6, 0, 5, 1, 1, 1, 1, 1, 17
6, 0, 5, 1, 1, 1, 1, 1, 31
6, 0, 5, 1, 1, 1, 1, 1, 45
7, 1, 5, 1, 1, 1, 1, 1, 4
7, 1, 5, 1, 1, 1, 1, 1, 18
7, 1, 5, 1, 1, 1, 1, 1, 32
7, 1, 5, 1, 1, 1, 1, 1, 46
8, 1, 5, 1, 1, 1, 1, 1, 5
8, 1, 5, 1, 1, 1, 1, 1, 19
8, 1, 5, 1, 1, 1, 1, 1, 33
8, 1, 5, 1, 1, 1, 1, 1, 47
9, 1, 5, 1, 1, 1, 1, 1, 6
9, 1, 5, 1, 1, 1, 1, 1, 11
9, 1, 5, 1, 1, 1, 1, 1, 20
9, 1, 5, 1, 1, 1, 1, 1, 25
9, 1, 5, 1, 1, 1, 1, 1, 34
9, 1, 5, 1, 1, 1, 1, 1, 39
9, 1, 5, 1, 1, 1, 1, 1, 48
9, 1, 5, 1, 1, 1, 1, 1, 53
10, 0, 5, 1, 1, 1, 1, 1, 13
10, 0, 5, 1, 1, 1, 1, 1, 27
10, 0, 5, 1, 1, 1, 1, 1, 41
10, 0, 5, 1, 1, 1, 1, 1, 55
12, 0, 5, 1, 1, 1, 1, 1, 8
12, 0, 5, 1, 1, 1, 1, 1, 22
12, 0, 5, 1, 1, 1, 1, 1, 36
12, 0, 5, 1, 1, 1, 1, 1, 50
17, 1, 5, 1, 1, 1, 1, 1, 10
17, 1, 5, 1, 1, 1, 1, 1, 24
17, 1, 5, 1, 1, 1, 1, 1, 38
17, 1, 5, 1, 1, 1, 1, 1, 52
24, 0, 5, 1, 1, 1, 1, 1, 9
24, 0, 5, 1, 1, 1, 1, 1, 23
24, 0, 5, 1, 1, 1, 1, 1, 37
24, 0, 5, 1, 1, 1, 1, 1, 51
34, 1, 5, 1, 1, 1, 1, 1, 12
34, 1, 5, 1, 1, 1, 1, 1, 26
34, 1, 5, 1, 1, 1, 1, 1, 40
34, 1, 5, 1, 1, 1, 1, 1, 54
99, 0, 5, 1, 1, 1, 1, 1, 14
99, 0, 5, 1, 1, 1, 1, 1, 28
99, 0, 5, 1, 1, 1, 1, 1, 42
99, 0, 5, 1, 1, 1, 1, 1, 56
